@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute 3 NUMERIC
@attribute 4 NUMERIC
@attribute 5 NUMERIC
@attribute 6 NUMERIC
@attribute 7 NUMERIC
@attribute 8 NUMERIC
@attribute 9 NUMERIC
@attribute 10 NUMERIC
@attribute 11 NUMERIC
@attribute 12 NUMERIC
@attribute 13 NUMERIC
@attribute 14 NUMERIC
@attribute 15 NUMERIC
@attribute 16 NUMERIC
@attribute 17 NUMERIC
@attribute 18 NUMERIC
@attribute 19 NUMERIC
@attribute 20 NUMERIC
@attribute 21 NUMERIC
@attribute 22 NUMERIC
@attribute 23 NUMERIC
@attribute 24 NUMERIC
@attribute 25 NUMERIC
@attribute 26 NUMERIC
@attribute 27 NUMERIC
@attribute 28 NUMERIC
@attribute 29 NUMERIC
@attribute 30 NUMERIC
@attribute 31 NUMERIC
@attribute 32 NUMERIC
@attribute 33 NUMERIC
@attribute 34 NUMERIC
@attribute 35 NUMERIC
@attribute 36 NUMERIC
@attribute 37 NUMERIC
@attribute 38 NUMERIC
@attribute 39 NUMERIC
@attribute 40 NUMERIC
@attribute 41 NUMERIC
@attribute 42 NUMERIC
@attribute 43 NUMERIC
@attribute 44 NUMERIC
@attribute 45 NUMERIC
@attribute 46 NUMERIC
@attribute 47 NUMERIC
@attribute 48 NUMERIC
@attribute 49 NUMERIC
@attribute classes {0,1,}
@data
0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1
3.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,6.0,8.0,3.0,12.0,1.0,3.0,1.0,1.0,4.0,6.0,2.0,4.0,4.0,9.0,2.0,10.0,4.0,5.0,6.0,5.0,1.0,7.0,2.0,4.0,3.0,0.0,16.0,2.0,1.0,1.0,0.0,3.0,8.0,10.0,3.0,0.0,4.0,1.0,2.0,2.0,6.0,10.0,1
0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
4.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,2.0,0.0,4.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,0.0,3.0,0.0,4.0,2.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,4.0,3.0,1.0,1
2.0,1.0,6.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,16.0,4.0,5.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,7.0,2.0,1.0,8.0,3.0,2.0,1.0,20.0,1.0,1.0,0.0,6.0,0.0,0.0,8.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,6.0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
4.0,1.0,6.0,7.0,3.0,2.0,2.0,0.0,2.0,0.0,5.0,3.0,1.0,5.0,6.0,3.0,2.0,5.0,4.0,0.0,3.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,13.0,4.0,6.0,8.0,4.0,0.0,1.0,2.0,4.0,3.0,0.0,4.0,1
1.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,3.0,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1
2.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,3.0,5.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,4.0,2.0,1.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1
2.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,6.0,2.0,0.0,4.0,1.0,0.0,4.0,6.0,0.0,4.0,0.0,2.0,8.0,1.0,1.0,4.0,5.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,3.0,2.0,1
5.0,1.0,2.0,6.0,5.0,11.0,1.0,0.0,2.0,3.0,8.0,5.0,1.0,12.0,2.0,5.0,2.0,10.0,0.0,16.0,2.0,3.0,8.0,4.0,1.0,4.0,4.0,2.0,3.0,0.0,9.0,2.0,4.0,8.0,8.0,7.0,3.0,3.0,1.0,0.0,14.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,6.0,5.0,1
1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1
4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,0.0,2.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
4.0,1.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,11.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,4.0,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,3.0,1.0,2.0,8.0,6.0,2.0,0.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,11.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,13.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1
4.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1
4.0,7.0,2.0,1.0,3.0,14.0,8.0,5.0,7.0,5.0,4.0,7.0,3.0,2.0,10.0,0.0,13.0,2.0,8.0,4.0,4.0,7.0,14.0,2.0,13.0,3.0,2.0,10.0,12.0,3.0,1.0,7.0,1.0,12.0,4.0,6.0,8.0,1.0,5.0,6.0,3.0,5.0,6.0,7.0,12.0,9.0,1.0,12.0,6.0,1.0,1
1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,3.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1
4.0,3.0,1.0,0.0,4.0,2.0,3.0,1.0,6.0,3.0,2.0,9.0,2.0,6.0,4.0,4.0,3.0,4.0,8.0,0.0,2.0,9.0,0.0,3.0,3.0,2.0,5.0,7.0,8.0,4.0,2.0,6.0,5.0,8.0,7.0,3.0,7.0,6.0,10.0,4.0,2.0,4.0,3.0,6.0,5.0,2.0,8.0,7.0,2.0,7.0,1
3.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0,4.0,5.0,0.0,0.0,10.0,3.0,0.0,3.0,1.0,0.0,7.0,8.0,0.0,4.0,0.0,4.0,2.0,0.0,3.0,4.0,2.0,0.0,9.0,0.0,2.0,6.0,1.0,0.0,5.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,1
1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,1.0,5.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0,0.0,1.0,3.0,1
1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,20.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,85.0,5.0,0.0,0.0,1
1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,0.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,5.0,2.0,1.0,1
2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,9.0,17.0,4.0,0.0,14.0,1.0,9.0,2.0,8.0,0.0,19.0,7.0,0.0,3.0,2.0,1.0,4.0,9.0,6.0,5.0,0.0,7.0,11.0,6.0,8.0,8.0,5.0,0.0,24.0,11.0,1.0,10.0,7.0,0.0,5.0,1.0,22.0,9.0,4.0,2.0,1
2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,14.0,0.0,0.0,9.0,2.0,1.0,3.0,1.0,0.0,6.0,5.0,1.0,1.0,4.0,0.0,2.0,4.0,2.0,0.0,3.0,2.0,6.0,0.0,5.0,1.0,2.0,3.0,7.0,2.0,0.0,5.0,3.0,1.0,2.0,0.0,3.0,6.0,6.0,0.0,1
1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1
4.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,0.0,6.0,5.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,6.0,1.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,11.0,5.0,6.0,6.0,1
0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,1.0,1.0,0.0,1
0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1
6.0,1.0,2.0,8.0,3.0,6.0,3.0,1.0,4.0,8.0,9.0,7.0,1.0,1.0,11.0,2.0,6.0,4.0,3.0,1.0,9.0,9.0,2.0,12.0,3.0,2.0,8.0,1.0,4.0,4.0,5.0,5.0,6.0,1.0,4.0,4.0,4.0,8.0,19.0,3.0,4.0,5.0,1.0,3.0,5.0,3.0,12.0,10.0,6.0,5.0,1
1.0,0.0,1.0,5.0,4.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,4.0,2.0,0.0,6.0,1.0,0.0,3.0,5.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,7.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,6.0,0.0,2.0,7.0,1
3.0,2.0,5.0,4.0,4.0,2.0,2.0,0.0,6.0,8.0,2.0,17.0,1.0,5.0,4.0,3.0,6.0,8.0,3.0,0.0,10.0,10.0,3.0,16.0,6.0,4.0,11.0,7.0,4.0,8.0,5.0,7.0,4.0,1.0,18.0,2.0,1.0,3.0,4.0,2.0,8.0,12.0,5.0,2.0,5.0,1.0,3.0,3.0,6.0,13.0,1
0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,2.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,1.0,5.0,1.0,0.0,3.0,4.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1
5.0,0.0,3.0,2.0,7.0,0.0,2.0,1.0,4.0,2.0,6.0,14.0,0.0,1.0,16.0,0.0,4.0,4.0,2.0,0.0,14.0,13.0,0.0,5.0,2.0,6.0,8.0,4.0,3.0,8.0,8.0,0.0,17.0,0.0,3.0,23.0,8.0,3.0,22.0,6.0,2.0,6.0,4.0,0.0,2.0,1.0,3.0,3.0,8.0,3.0,1
6.0,5.0,2.0,7.0,7.0,3.0,2.0,1.0,4.0,2.0,11.0,9.0,0.0,0.0,13.0,5.0,9.0,6.0,1.0,1.0,9.0,12.0,1.0,7.0,5.0,3.0,7.0,4.0,10.0,5.0,5.0,3.0,13.0,5.0,7.0,5.0,8.0,9.0,11.0,2.0,5.0,4.0,3.0,1.0,6.0,3.0,16.0,8.0,12.0,13.0,1
1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,5.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,8.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,7.0,1
7.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,11.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,6.0,5.0,3.0,2.0,13.0,3.0,2.0,0.0,2.0,0.0,0.0,8.0,2.0,1.0,8.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1
2.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,4.0,5.0,0.0,2.0,0.0,5.0,2.0,4.0,2.0,5.0,2.0,1.0,0.0,2.0,3.0,7.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,6.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,4.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,7.0,1
3.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,11.0,3.0,0.0,2.0,5.0,0.0,4.0,1.0,1.0,0.0,4.0,12.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,5.0,1.0,1.0,7.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,7.0,2.0,7.0,1.0,1
1.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2.0,4.0,4.0,2.0,8.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,6.0,6.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,1
6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,5.0,2.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,1
